Statement,Header,Field Name,Field Value
Statement,Data,Title,Activity Statement
Statement,Data,Period,"April 1, 2026 - September 8, 2026"
Statement,Data,WhenGenerated,"2026-09-09, 09:20:58 EDT"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Yagyank Chadha
Account Information,Data,Account,U15172057
Account Information,Data,Investment Advisor,MATCAP WEALTH ADVISORS PRIVATE LIMITED
Account Information,Data,Account Type,Advisor Client
Account Information,Data,Customer Type,Individual
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,1897.136667605,11241.109550369,-0,11241.109550369,9343.972882764
Net Asset Value,Data,Collateral Value,6616.102421011,9152.358733455,0,9152.358733455,2536.256312444
Net Asset Value,Data,Stock,110815.755362,142323.395859,0,142323.395859,31507.640497
Net Asset Value,Data,Securities Lent,-6616.102421011,0,-9152.358733455,-9152.358733455,-2536.256312444
Net Asset Value,Data,Interest Accruals,1.0803485,0,0,0,-1.0803485
Net Asset Value,Data,Dividend Accruals,128.4470356,54.34114,-0.66,53.68114,-74.7658956
Net Asset Value,Data,Total,112842.419413705,162771.205282825,-9153.018733456,153618.186549369,40775.767135664
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,17.846973401%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,112842.419413705
Change in NAV,Data,Mark-to-Market,22512.730694231
Change in NAV,Data,Deposits & Withdrawals,20052.5
Change in NAV,Data,Dividends,818.362953
Change in NAV,Data,Withholding Tax,-149.1816967
Change in NAV,Data,Change in Dividend Accruals,-74.8911596
Change in NAV,Data,Interest,87.7687196
Change in NAV,Data,Change in Interest Accruals,-1.0995048
Change in NAV,Data,Advisor Fees,-2261.8
Change in NAV,Data,Other Fees,-0.01654279
Change in NAV,Data,Commissions,-127.407146336
Change in NAV,Data,Transaction Fees,-81.343599278
Change in NAV,Data,Other FX Translations,0.1444203
Change in NAV,Data,Ending Value,153618.186549369
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,2890,0,612,--,43.4500,82.829851516,2.37507,-5.154434126,16.3730028,96.42349019
Mark-to-Market Performance Summary,Data,Stocks,2890.SPO,0,0,--,--,0.000001329,0.290339155,-0.791414296,0,-0.501073811
Mark-to-Market Performance Summary,Data,Stocks,2914.T,100,0,"6,020.0000",--,63.71724,55.03938,-3.070331616,71.8960242,187.582312584
Mark-to-Market Performance Summary,Data,Stocks,3069,700,0,14.6600,--,-222.57088,14.28224,-2.326727816,0,-210.615367816
Mark-to-Market Performance Summary,Data,Stocks,3110,500,0,31.5400,--,-168.4487,12.752,-2.348239356,0,-158.044939356
Mark-to-Market Performance Summary,Data,Stocks,3416,1000,0,9.3700,--,-137.151,15.94,-2.325960974,54.8908,-68.646160974
Mark-to-Market Performance Summary,Data,Stocks,4543.T,0,200,--,"2,326.5000",105.211115,14.477545,-2.188575796,0,117.500084204
Mark-to-Market Performance Summary,Data,Stocks,4568.T,200,0,"2,766.0000",--,-287.19372,50.07501,-2.548014336,40.878345,-198.788379336
Mark-to-Market Performance Summary,Data,Stocks,7203.T,100,0,"3,162.0000",--,-247.449995,-33.38334,-1.342257552,26.4099984,-255.765594152
Mark-to-Market Performance Summary,Data,Stocks,AAFl,0,835,--,3.5120,130.935014,-2.270699,-23.368688005,0,105.295626995
Mark-to-Market Performance Summary,Data,Stocks,AEP,10,0,131.0800,--,59.2,-17.7,-1.02983738,7.12,47.59016262
Mark-to-Market Performance Summary,Data,Stocks,ANET,0,12,--,194.9600,189.36,53.28,-2.000036,0,240.639964
Mark-to-Market Performance Summary,Data,Stocks,APH,0,24,--,81.7600,26.16,27.24,-1.000036,0,52.399964
Mark-to-Market Performance Summary,Data,Stocks,ASML,6,6,"1,320.8300","1,764.8500",2664.12,0,0,27.06,2691.18
Mark-to-Market Performance Summary,Data,Stocks,AVGO,9,9,309.5100,368.5600,531.45,0,0,4.39,535.84
Mark-to-Market Performance Summary,Data,Stocks,AXP,3,0,302.4800,--,119.94,7.62,-1.021915,2.14,128.678085
Mark-to-Market Performance Summary,Data,Stocks,BAC,162,0,48.7500,--,1595,-58.88,-2.22640857,34.02,1567.91359143
Mark-to-Market Performance Summary,Data,Stocks,BARCl,0,329,--,4.9805,-31.50003,-3.9128862,-19.015089731,0,-54.428005931
Mark-to-Market Performance Summary,Data,Stocks,BBJP,0,0,--,--,104.88,-27.17,-2.06576481,0,75.64423519
Mark-to-Market Performance Summary,Data,Stocks,BNO,50,0,52.0100,--,-29.5,-9.5,-1.0626669,0,-40.0626669
Mark-to-Market Performance Summary,Data,Stocks,BX,42,0,114.9900,--,-34.02,-17.22,-1.1067498,36.54,-15.8067498
Mark-to-Market Performance Summary,Data,Stocks,CAT,3,3,708.4600,822.4800,342.06,0,0,7.07,349.13
Mark-to-Market Performance Summary,Data,Stocks,CNUA,9,0,140.9800,--,205.40034,-11.3157,-3.429,0,190.65564
Mark-to-Market Performance Summary,Data,Stocks,CSCO,20,20,77.5900,109.1700,631.6,0,0,12.6,644.2
Mark-to-Market Performance Summary,Data,Stocks,DHI,0,13.2,--,138.4900,-114.442,-24.31,-1.0000396,4.45,-135.3020396
Mark-to-Market Performance Summary,Data,Stocks,DXJ,24,15,158.5800,175.5800,446.85,0.33,-2.09186084,20.79,465.87813916
Mark-to-Market Performance Summary,Data,Stocks,EMXC,75,0,78.6600,--,1579.25,68.75,-2.1703285,33.07,1678.8996715
Mark-to-Market Performance Summary,Data,Stocks,GE,7,0,283.7700,--,526.89,17.85,-1.05352728,4.94,548.62647272
Mark-to-Market Performance Summary,Data,Stocks,GLD,10,13.5,430.2900,399.7200,-381.3,-5.4725,-1.0000105,0,-387.7725105
